term,Perussuomalaiset freq,Vihreä liitto freq,Vasemmistoliitto freq,Suomen Kristillisdemokraatit (KD) freq,Kansallinen Kokoomus freq,Suomen Sosialidemokraattinen Puolue freq,Suomen Keskusta freq,Kokoomus_score,Perus_score,Keskusta_score,Krist_score,SDP_score,Vasen_score,Vihreä_score
ets,2,0,0,0,0,1,0,0.4445475431775871,0.7223199003595541,0.4437835904887715,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.4418830751746444
seitsem tärkein,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tärkein 1,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
1 tun,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tun taloud,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
taloud mekanism,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
mekanism ets,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tarmo,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
kaike tarmo,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
menestyy,0,0,0,0,0,3,1,0.4175861232784803,0.42026590240395884,0.5238201307920806,0.42411802019759914,0.8533111000870007,0.421466107045067,0.4136610678692508
ratkaisu joil,0,0,0,0,1,1,1,0.5428636905705958,0.4463661295507027,0.5408521735194494,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.4418830751746444
joil suomi,0,0,0,0,0,1,1,0.47205054999834195,0.4729733576732623,0.5611447810889078,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
suomi menestyy,0,0,0,0,0,2,1,0.4445475431775871,0.4463661295507027,0.5408521735194494,0.4489748147580188,0.7371954039290034,0.4471780008683319,0.4418830751746444
menestyy leikkauks,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
leikkauks eivä,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
riitä on,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
on luotav,1,0,1,0,1,1,1,0.5108096095373836,0.5111754072592153,0.5104752276446047,0.39979182645404326,0.520399556062151,0.5283003549069333,0.3861334376634987
luotav kestäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
kestäv kasvu,0,1,1,0,0,3,1,0.3656308515556692,0.369903064791711,0.5,0.37605905921278654,0.8330385456164111,0.5167687752789842,0.4230440432027256
kasvu uusiutuv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
uusiutuv tuotano,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tuotano uusiutuv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
energia uusiutuv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ideo,0,0,0,0,1,1,1,0.5428636905705958,0.4463661295507027,0.5408521735194494,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.4418830751746444
edelläkävij,0,1,0,0,0,1,1,0.4445475431775871,0.4463661295507027,0.5408521735194494,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.518001113842324
ideo 2,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
suomi voi,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
voi ol,1,0,0,0,0,1,1,0.4445475431775871,0.5441632223352887,0.5408521735194494,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.4418830751746444
ol maailm,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
maailm edelläkävij,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
